SaleID,Date,CustomerID,ProductID,Quantity,TotalAmount,Name,Age,Gender,Region,Email,ProductName,Category,Price,StockQuantity,ReturnID,ReturnDate,Reason
45,2023-10-12,2,30,4,2234.76,Earl Perry,25,Male,North,ushaw@shaffer-nelson.org,Base,Clothing,558.69,210,,,
46,2023-12-02,160,50,6,4116.36,Andrew Thomas,59,Female,North,ybrown@hotmail.com,Finish,Books,686.06,149,,,
47,2023-02-19,80,35,10,1691.0,Michael Woodward,27,Male,North,alexisnelson@murray-patel.com,Modern,Electronics,169.1,111,89.0,2023-12-24,Defective
48,2023-02-16,59,33,3,801.81,Virginia West,52,Male,North,mholmes@perry.com,Improve,Furniture,267.27,174,,,
49,2023-09-03,17,46,2,987.12,Patricia Berry,30,Female,East,murphymarvin@morris.net,With,Electronics,493.56,457,,,
50,2023-12-30,34,9,2,188.98,Jennifer Gill,63,Female,East,phillipsjulie@yahoo.com,Sign,Books,94.49,165,,,
51,2023-07-28,133,27,8,3489.6,Paige Ray,52,Male,South,parkspaul@yahoo.com,Safe,Books,436.2,299,,,
52,2023-08-24,127,16,8,3459.68,Laurie Trujillo,50,Female,East,sjones@mathis-gordon.com,Recent,Clothing,432.46,475,,,
53,2023-05-10,57,20,6,1510.02,Eric Johnson,34,Male,West,jermaine22@harris.biz,Political,Books,251.67,261,,,
54,2023-04-08,77,19,5,1037.5,Stephanie Rowe,45,Female,South,collinsmonica@gmail.com,Check,Books,207.5,346,,,
55,2023-01-01,168,4,6,1747.08,Betty Brennan,49,Male,East,omayer@zamora.info,Mission,Furniture,291.18,401,,,
56,2023-09-14,2,33,3,801.81,Earl Perry,25,Male,North,ushaw@shaffer-nelson.org,Improve,Furniture,267.27,174,,,
57,2023-07-29,89,23,9,3256.2,Karen Howell,29,Female,North,rmaddox@chavez.com,Few,Furniture,361.8,132,,,
58,2023-02-25,151,36,3,1577.13,Christy Griffin,61,Female,North,alexis83@hotmail.com,Big,Electronics,525.71,83,69.0,2023-12-16,Changed Mind
59,2023-08-30,69,28,6,5551.14,Ronald Shaffer,22,Female,South,christopherjenkins@flynn-sanders.com,Whatever,Books,925.19,390,61.0,2023-12-06,Changed Mind
60,2023-08-08,12,20,1,251.67,Tammy Martin,29,Male,East,daniel67@yahoo.com,Political,Books,251.67,261,,,
61,2023-07-02,46,14,9,3492.0,Dawn Floyd,42,Male,South,dmcdonald@white-gay.org,Important,Clothing,388.0,53,,,
62,2023-10-22,123,23,5,1809.0,Seth Garrett,18,Female,East,leechristopher@howard.org,Few,Furniture,361.8,132,26.0,2023-01-31,Wrong Item
63,2023-03-16,37,35,8,1352.8,Scott Brown,42,Male,South,brandonunderwood@gmail.com,Modern,Electronics,169.1,111,102.0,2023-09-24,Changed Mind
64,2023-07-03,22,32,6,3124.14,Dawn Miles,37,Male,North,bleonard@cox.org,Republican,Books,520.69,81,8.0,2023-09-28,Wrong Item
65,2023-04-21,177,16,10,4324.6,Kathryn Mitchell,57,Male,North,erinroberts@hayes.info,Recent,Clothing,432.46,475,,,
66,2023-07-06,70,1,8,5414.88,Richard Martin,53,Male,East,hromero@mata.com,Story,Furniture,676.86,499,,,
67,2023-03-23,29,1,9,6091.74,Daniel Shaw,31,Male,South,jennifermitchell@yahoo.com,Story,Furniture,676.86,499,,,
68,2023-07-28,116,7,3,1400.46,Kristy Callahan,59,Female,East,kelly58@ball.info,Point,Electronics,466.82,371,108.0,2023-07-12,Defective
69,2023-11-30,10,31,4,1124.36,Rachael Walters,48,Female,South,omclaughlin@gmail.com,Operation,Electronics,281.09,47,,,
70,2023-08-06,14,16,8,3459.68,William Brady,56,Male,West,daniel80@hotmail.com,Recent,Clothing,432.46,475,,,
71,2023-04-27,199,9,5,472.45,Carly Ibarra,53,Female,North,bklein@gmail.com,Sign,Books,94.49,165,,,
72,2023-05-27,6,18,7,6734.0,Carla Kim,27,Female,East,smarks@gmail.com,These,Clothing,962.0,95,117.0,2023-10-06,Changed Mind
73,2023-03-14,184,6,7,3805.62,Craig Smith,48,Male,West,peggyreed@gmail.com,Window,Books,543.66,382,,,
74,2023-03-15,53,7,8,3734.56,Mrs. Christina Burns,30,Female,East,hahnwilliam@hotmail.com,Point,Electronics,466.82,371,,,
75,2023-11-21,81,7,4,1867.28,Amanda Abbott,46,Male,South,maria68@gmail.com,Point,Electronics,466.82,371,138.0,2023-03-15,Wrong Item
76,2023-08-21,144,48,5,1333.45,Nicholas Frost,57,Female,South,kporter@stevens.info,Oil,Books,266.69,160,,,
77,2023-06-19,199,8,1,121.94,Carly Ibarra,53,Female,North,bklein@gmail.com,Office,Electronics,121.94,472,,,
78,2023-02-25,146,28,5,4625.95,Rebecca Price,24,Female,West,andrew31@jones.net,Whatever,Books,925.19,390,,,
79,2023-08-05,10,33,3,801.81,Rachael Walters,48,Female,South,omclaughlin@gmail.com,Improve,Furniture,267.27,174,,,
80,2023-05-09,93,44,6,2443.86,Michelle Carr PhD,24,Female,West,gbaker@shaw.org,Inside,Books,407.31,445,,,
81,2023-10-06,200,27,5,2181.0,Geoffrey Lewis,39,Female,East,marilynjimenez@mullen.com,Safe,Books,436.2,299,,,
82,2023-03-12,69,7,1,466.82,Ronald Shaffer,22,Female,South,christopherjenkins@flynn-sanders.com,Point,Electronics,466.82,371,,,
83,2023-03-19,19,32,3,1562.07,Jeffrey Blackwell,23,Male,East,espinozakevin@johnson.biz,Republican,Books,520.69,81,,,
84,2023-09-14,11,50,10,6860.6,Jamie Bass,35,Male,North,tylergibbs@miller-greene.net,Finish,Books,686.06,149,,,
85,2023-09-16,90,16,6,2594.76,Lisa Smith,50,Female,South,michael47@hotmail.com,Recent,Clothing,432.46,475,,,
86,2023-12-16,127,36,9,4731.39,Laurie Trujillo,50,Female,East,sjones@mathis-gordon.com,Big,Electronics,525.71,83,98.0,2023-01-06,Wrong Item
87,2023-11-25,150,36,3,1577.13,Roger Carlson,41,Female,North,janevazquez@nielsen.com,Big,Electronics,525.71,83,,,
88,2023-09-21,75,6,3,1630.98,Lydia Larsen,65,Female,South,martinezmark@yahoo.com,Window,Books,543.66,382,82.0,2023-02-09,Defective
89,2023-04-19,35,7,3,1400.46,David Mendez,34,Male,North,james32@hill.com,Point,Electronics,466.82,371,,,
90,2023-04-10,184,6,5,2718.3,Craig Smith,48,Male,West,peggyreed@gmail.com,Window,Books,543.66,382,,,
91,2023-07-16,100,9,2,188.98,Dr. Larry Taylor DDS,41,Female,North,jonespatricia@beard.com,Sign,Books,94.49,165,,,
92,2023-05-19,159,31,3,843.27,David Sanchez,38,Female,East,michaelstevens@gmail.com,Operation,Electronics,281.09,47,,,
93,2023-04-24,3,5,9,6632.55,Mary Wolf,48,Male,West,deniselopez@aguilar.com,Score,Books,736.95,191,,,
94,2023-01-22,150,28,10,9251.9,Roger Carlson,41,Female,North,janevazquez@nielsen.com,Whatever,Books,925.19,390,60.0,2023-07-24,Changed Mind
95,2023-03-29,163,12,9,3234.24,Derrick Kline,32,Female,South,ericward@cantu.com,Nothing,Electronics,359.36,439,92.0,2023-09-19,Defective
95,2023-03-29,163,12,9,3234.24,Derrick Kline,32,Female,South,ericward@cantu.com,Nothing,Electronics,359.36,439,93.0,2023-11-22,Wrong Item
96,2023-11-17,67,20,8,2013.36,Nicholas Lawrence,25,Female,West,figueroanicole@johnston.net,Political,Books,251.67,261,,,
97,2023-03-07,89,32,7,3644.83,Karen Howell,29,Female,North,rmaddox@chavez.com,Republican,Books,520.69,81,,,
98,2023-04-16,157,41,10,1477.3,Donna Wilson,43,Male,South,jessicaturner@garner.com,Prove,Electronics,147.73,205,,,
99,2023-08-20,92,3,4,1202.76,Dennis Robinson,40,Female,South,jgould@yahoo.com,Skin,Electronics,300.69,343,,,
100,2023-11-18,50,15,1,661.24,Stephanie Bailey,50,Female,West,alecwhite@yahoo.com,How,Electronics,661.24,374,,,
101,2023-01-20,51,33,3,801.81,Jay Williams,36,Male,West,james82@murphy.com,Improve,Furniture,267.27,174,,,
102,2023-08-14,98,18,7,6734.0,Lauren Smith,27,Male,West,xparker@gmail.com,These,Clothing,962.0,95,,,
103,2023-07-11,101,8,5,609.7,Kenneth Burgess,29,Female,West,xavierjohnson@king-nichols.com,Office,Electronics,121.94,472,,,
104,2023-08-08,35,20,1,251.67,David Mendez,34,Male,North,james32@hill.com,Political,Books,251.67,261,133.0,2023-09-30,Wrong Item
105,2023-11-09,96,2,7,2399.18,Phyllis Garrett,19,Female,West,cassielewis@hotmail.com,Film,Electronics,342.74,360,,,
106,2023-10-26,86,45,7,4335.66,Darrell Wright,65,Male,North,jamie58@ward-lewis.com,System,Furniture,619.38,13,,,
107,2023-01-05,88,7,4,1867.28,Charles Archer,32,Female,North,daniel28@davis-reilly.com,Point,Electronics,466.82,371,,,
108,2023-01-18,81,21,3,915.27,Amanda Abbott,46,Male,South,maria68@gmail.com,Sort,Books,305.09,64,,,
109,2023-08-31,60,25,6,2791.26,Roger Smith,40,Female,South,christopher08@hotmail.com,Thank,Clothing,465.21,231,,,
110,2023-05-05,66,16,6,2594.76,Melissa Charles,42,Female,West,christinaaustin@yahoo.com,Recent,Clothing,432.46,475,,,
111,2023-10-02,11,25,7,3256.47,Jamie Bass,35,Male,North,tylergibbs@miller-greene.net,Thank,Clothing,465.21,231,,,
112,2023-11-27,86,45,9,5574.42,Darrell Wright,65,Male,North,jamie58@ward-lewis.com,System,Furniture,619.38,13,86.0,2023-08-07,Defective
113,2023-05-13,148,8,2,243.88,Craig Jimenez,45,Female,West,barbara33@hotmail.com,Office,Electronics,121.94,472,,,
114,2023-05-18,112,37,2,1139.74,Megan Campbell,49,Female,North,qperry@eaton.biz,Table,Books,569.87,183,,,
115,2023-03-08,84,42,2,543.7,Antonio Mcfarland,65,Female,East,garyhernandez@yahoo.com,Republican,Electronics,271.85,139,,,
116,2023-05-30,56,24,1,956.06,Jenna Moore,46,Female,East,kurt14@hotmail.com,Career,Clothing,956.06,408,,,
117,2023-04-02,143,47,10,8000.7,Katherine Conner,59,Male,West,kingmolly@hicks.com,Smile,Clothing,800.07,176,,,
118,2023-11-23,138,19,6,1245.0,Maria Walsh,40,Female,North,zhogan@hotmail.com,Check,Books,207.5,346,,,
119,2023-11-22,37,6,5,2718.3,Scott Brown,42,Male,South,brandonunderwood@gmail.com,Window,Books,543.66,382,,,
120,2023-01-28,17,20,8,2013.36,Patricia Berry,30,Female,East,murphymarvin@morris.net,Political,Books,251.67,261,,,
121,2023-11-15,69,34,2,1493.16,Ronald Shaffer,22,Female,South,christopherjenkins@flynn-sanders.com,Dream,Electronics,746.58,255,16.0,2023-12-27,Wrong Item
122,2023-07-23,110,11,8,6028.16,Katelyn Miller,35,Female,West,kathy73@ferrell.com,Road,Books,753.52,479,,,
123,2023-07-05,5,27,7,3053.4,Edward Boyd,31,Female,North,cassandra09@reynolds.com,Safe,Books,436.2,299,145.0,2023-04-02,Defective
124,2023-11-14,20,22,4,3343.72,Julie Perez,36,Female,North,qporter@yahoo.com,Music,Books,835.93,161,55.0,2023-12-28,Wrong Item
125,2023-08-26,17,3,1,300.69,Patricia Berry,30,Female,East,murphymarvin@morris.net,Skin,Electronics,300.69,343,123.0,2023-10-04,Defective
126,2023-07-14,139,47,1,800.07,Penny Sullivan,34,Male,East,perkinsstephen@bradley.com,Smile,Clothing,800.07,176,,,
127,2023-08-31,162,48,3,800.07,Haley Dickson,20,Male,North,epacheco@hotmail.com,Oil,Books,266.69,160,14.0,2023-12-10,Changed Mind
128,2023-03-19,150,10,6,2025.3,Roger Carlson,41,Female,North,janevazquez@nielsen.com,Address,Electronics,337.55,68,,,
129,2023-02-08,83,11,3,2260.56,David Spencer,59,Male,West,edwardbruce@hotmail.com,Road,Books,753.52,479,,,
130,2023-10-17,170,49,2,590.56,Lisa Davidson,34,Female,West,ryanpatel@rogers-martinez.com,For,Furniture,295.28,448,,,
131,2023-12-11,93,44,3,1221.93,Michelle Carr PhD,24,Female,West,gbaker@shaw.org,Inside,Books,407.31,445,,,
132,2023-02-17,36,14,8,3104.0,Madison Ward,64,Female,East,pmartinez@alvarado.com,Important,Clothing,388.0,53,,,
133,2023-01-01,136,3,6,1804.14,Michael Berger,32,Female,West,ylynch@whitaker-palmer.info,Skin,Electronics,300.69,343,,,
134,2023-12-01,11,2,8,2741.92,Jamie Bass,35,Male,North,tylergibbs@miller-greene.net,Film,Electronics,342.74,360,19.0,2023-10-09,Changed Mind
135,2023-06-16,35,37,10,5698.7,David Mendez,34,Male,North,james32@hill.com,Table,Books,569.87,183,,,
136,2023-04-29,199,26,4,2091.72,Carly Ibarra,53,Female,North,bklein@gmail.com,Which,Clothing,522.93,445,,,
137,2023-09-06,119,34,3,2239.74,Brian Clark,21,Male,West,jonesjamie@long.org,Dream,Electronics,746.58,255,,,
138,2023-06-12,55,40,6,3143.22,Mr. Jesse Krueger,27,Male,North,paul89@hotmail.com,Where,Books,523.87,169,,,
139,2023-03-23,124,29,6,4012.14,Steven Hickman,53,Male,South,lyonsdestiny@henson.net,Law,Furniture,668.69,371,,,
140,2023-09-22,22,32,7,3644.83,Dawn Miles,37,Male,North,bleonard@cox.org,Republican,Books,520.69,81,,,
141,2023-12-01,170,50,1,686.06,Lisa Davidson,34,Female,West,ryanpatel@rogers-martinez.com,Finish,Books,686.06,149,,,
142,2023-04-27,152,1,3,2030.58,Stacey Perez,42,Male,West,vgreen@gmail.com,Story,Furniture,676.86,499,,,
143,2023-04-13,190,3,6,1804.14,Rachel Blackwell,65,Male,North,kathryn52@martinez.com,Skin,Electronics,300.69,343,,,
144,2023-03-12,21,2,8,2741.92,Jennifer Johnston,37,Female,East,turnerangela@thomas.com,Film,Electronics,342.74,360,,,
145,2023-01-10,23,15,3,1983.72,Michael Long,28,Female,North,zmueller@gmail.com,How,Electronics,661.24,374,,,
146,2023-12-16,83,40,7,3667.09,David Spencer,59,Male,West,edwardbruce@hotmail.com,Where,Books,523.87,169,,,
147,2023-12-22,25,4,7,2038.26,Fred Stout,63,Female,East,vrios@martinez.com,Mission,Furniture,291.18,401,,,
148,2023-08-07,46,37,1,569.87,Dawn Floyd,42,Male,South,dmcdonald@white-gay.org,Table,Books,569.87,183,,,
149,2023-10-20,122,48,1,266.69,Mary Atkinson DVM,40,Female,West,alvarezkatherine@hotmail.com,Oil,Books,266.69,160,,,
150,2023-03-01,105,6,6,3261.96,David Marshall,42,Female,West,romeromichael@hotmail.com,Window,Books,543.66,382,,,
151,2023-11-22,179,30,6,3352.14,Amber Baker,42,Male,North,rachel17@martinez.org,Base,Clothing,558.69,210,,,
152,2023-02-26,94,21,9,2745.81,Anthony Gonzales,55,Female,West,pbrooks@glover.biz,Sort,Books,305.09,64,,,
153,2023-03-11,71,32,6,3124.14,Albert Wilson,22,Female,South,timothy01@yahoo.com,Republican,Books,520.69,81,,,
154,2023-10-25,176,47,3,2400.21,Jamie Marquez,19,Male,East,davismiguel@blake-baker.com,Smile,Clothing,800.07,176,,,
155,2023-03-18,191,14,8,3104.0,Colin Rivera,36,Female,South,marianelson@gmail.com,Important,Clothing,388.0,53,,,
156,2023-07-07,143,35,3,507.3,Katherine Conner,59,Male,West,kingmolly@hicks.com,Modern,Electronics,169.1,111,,,
157,2023-05-03,66,12,5,1796.8,Melissa Charles,42,Female,West,christinaaustin@yahoo.com,Nothing,Electronics,359.36,439,63.0,2023-09-23,Defective
158,2023-03-21,54,46,10,4935.6,Jacqueline Gillespie,26,Male,West,vwalker@gmail.com,With,Electronics,493.56,457,,,
159,2023-04-28,182,46,9,4442.04,Paula Hughes,53,Female,North,dawsonstephen@gmail.com,With,Electronics,493.56,457,,,
160,2023-07-23,17,6,4,2174.64,Patricia Berry,30,Female,East,murphymarvin@morris.net,Window,Books,543.66,382,,,
161,2023-03-09,54,14,3,1164.0,Jacqueline Gillespie,26,Male,West,vwalker@gmail.com,Important,Clothing,388.0,53,,,
162,2023-03-07,126,8,8,975.52,Jacob Osborn,21,Male,East,jasonrivas@jones.com,Office,Electronics,121.94,472,,,
163,2023-09-22,56,29,7,4680.83,Jenna Moore,46,Female,East,kurt14@hotmail.com,Law,Furniture,668.69,371,,,
164,2023-05-09,196,39,2,382.34,Kelly Terry,42,Male,North,yburns@hotmail.com,Blood,Electronics,191.17,42,,,
165,2023-04-20,56,42,9,2446.65,Jenna Moore,46,Female,East,kurt14@hotmail.com,Republican,Electronics,271.85,139,,,
166,2023-01-08,2,4,5,1455.9,Earl Perry,25,Male,North,ushaw@shaffer-nelson.org,Mission,Furniture,291.18,401,,,
167,2023-09-24,107,4,7,2038.26,Mr. William Edwards,19,Male,West,brenda10@keller-stein.com,Mission,Furniture,291.18,401,,,
168,2023-09-27,61,4,1,291.18,Shannon Gilbert,46,Female,North,urobinson@valenzuela.com,Mission,Furniture,291.18,401,,,
169,2023-10-22,114,17,6,3073.98,Michele Ingram,50,Male,South,vincent22@gmail.com,Song,Furniture,512.33,373,,,
170,2023-11-21,9,10,9,3037.95,Natalie Chen,64,Male,West,dthornton@hotmail.com,Address,Electronics,337.55,68,,,
171,2023-03-28,19,44,8,3258.48,Jeffrey Blackwell,23,Male,East,espinozakevin@johnson.biz,Inside,Books,407.31,445,,,
172,2023-12-27,2,47,7,5600.49,Earl Perry,25,Male,North,ushaw@shaffer-nelson.org,Smile,Clothing,800.07,176,,,
173,2023-08-02,143,33,6,1603.62,Katherine Conner,59,Male,West,kingmolly@hicks.com,Improve,Furniture,267.27,174,,,
174,2023-06-30,165,36,10,5257.1,Matthew Russell,24,Male,North,chadpratt@price-welch.biz,Big,Electronics,525.71,83,,,
175,2023-03-05,81,28,8,7401.52,Amanda Abbott,46,Male,South,maria68@gmail.com,Whatever,Books,925.19,390,56.0,2023-01-01,Defective
176,2023-12-28,105,37,7,3989.09,David Marshall,42,Female,West,romeromichael@hotmail.com,Table,Books,569.87,183,71.0,2023-09-02,Defective
177,2023-08-12,29,25,8,3721.68,Daniel Shaw,31,Male,South,jennifermitchell@yahoo.com,Thank,Clothing,465.21,231,,,
178,2023-02-08,54,7,2,933.64,Jacqueline Gillespie,26,Male,West,vwalker@gmail.com,Point,Electronics,466.82,371,,,
179,2023-10-21,198,44,4,1629.24,Maria Wilson,38,Female,West,zpeters@gmail.com,Inside,Books,407.31,445,,,
180,2023-08-02,126,34,3,2239.74,Jacob Osborn,21,Male,East,jasonrivas@jones.com,Dream,Electronics,746.58,255,,,
181,2023-06-02,186,14,4,1552.0,Bethany Horton,60,Female,West,philipgould@yahoo.com,Important,Clothing,388.0,53,,,
182,2023-03-01,18,46,9,4442.04,Christopher Ayala,58,Male,North,khill@gmail.com,With,Electronics,493.56,457,,,
183,2023-04-27,134,38,8,7066.56,Natalie Leon,56,Male,North,dianehodge@johnston.com,Against,Books,883.32,290,,,
184,2023-06-11,4,37,3,1709.61,Anna Bates,20,Male,North,jeremyfuller@yahoo.com,Table,Books,569.87,183,,,
185,2023-01-29,137,42,9,2446.65,Daniel Gallagher,61,Male,North,ronniebrown@yahoo.com,Republican,Electronics,271.85,139,,,
186,2023-07-13,31,29,9,6018.21,James Mcintyre,57,Male,West,josephhernandez@lopez.com,Law,Furniture,668.69,371,40.0,2023-07-15,Changed Mind
186,2023-07-13,31,29,9,6018.21,James Mcintyre,57,Male,West,josephhernandez@lopez.com,Law,Furniture,668.69,371,91.0,2023-07-23,Wrong Item
186,2023-07-13,31,29,9,6018.21,James Mcintyre,57,Male,West,josephhernandez@lopez.com,Law,Furniture,668.69,371,113.0,2023-10-13,Wrong Item
187,2023-10-23,108,31,6,1686.54,Catherine Walker,36,Female,South,paustin@yahoo.com,Operation,Electronics,281.09,47,114.0,2023-02-02,Wrong Item
188,2023-07-08,116,26,3,1568.79,Kristy Callahan,59,Female,East,kelly58@ball.info,Which,Clothing,522.93,445,,,
189,2023-09-15,12,7,10,4668.2,Tammy Martin,29,Male,East,daniel67@yahoo.com,Point,Electronics,466.82,371,,,
190,2023-08-02,52,41,5,738.65,Ms. Cynthia Soto,58,Male,South,donna11@hotmail.com,Prove,Electronics,147.73,205,44.0,2023-07-07,Wrong Item
191,2023-12-01,81,29,1,668.69,Amanda Abbott,46,Male,South,maria68@gmail.com,Law,Furniture,668.69,371,,,
192,2023-05-08,43,25,8,3721.68,Jane Torres,27,Female,South,fleminglee@gmail.com,Thank,Clothing,465.21,231,17.0,2023-04-13,Defective
192,2023-05-08,43,25,8,3721.68,Jane Torres,27,Female,South,fleminglee@gmail.com,Thank,Clothing,465.21,231,103.0,2023-04-12,Defective
193,2023-01-24,159,1,2,1353.72,David Sanchez,38,Female,East,michaelstevens@gmail.com,Story,Furniture,676.86,499,,,
194,2023-03-17,89,17,9,4610.97,Karen Howell,29,Female,North,rmaddox@chavez.com,Song,Furniture,512.33,373,,,
195,2023-02-28,184,23,8,2894.4,Craig Smith,48,Male,West,peggyreed@gmail.com,Few,Furniture,361.8,132,111.0,2023-03-29,Wrong Item
196,2023-05-07,8,46,3,1480.68,Julian Burns,45,Male,West,jimenezdaniel@berry-edwards.com,With,Electronics,493.56,457,,,
197,2023-04-21,45,45,8,4955.04,Jacqueline Keller,55,Male,West,ghoward@hotmail.com,System,Furniture,619.38,13,,,
198,2023-11-19,149,26,4,2091.72,Mary Johnson DDS,60,Female,East,donnamccarthy@gmail.com,Which,Clothing,522.93,445,,,
199,2023-08-22,156,23,7,2532.6,Steven Lee,55,Male,East,vgomez@morrison-rogers.org,Few,Furniture,361.8,132,,,
200,2023-11-10,173,29,8,5349.52,Richard Booth,58,Male,West,shelbynovak@hardy-hernandez.com,Law,Furniture,668.69,371,,,
201,2023-03-02,128,9,3,283.47,Blake Gordon,65,Male,South,amanda78@yahoo.com,Sign,Books,94.49,165,,,
